alpha,beta,CL,CD,CS
-3.98,0,-0.1376221580227478,0.0728568986669099,
-0.98,0,0.0740416605031955,0.0555664719152941,
1.02,0,0.2297033240667434,0.0494885485664686,
4.02,0,0.4647347725148809,0.0520739923414165,
7.02,0,0.6803161350821074,0.0648990739583181,
10.02,0,0.8756115162328851,0.0848582015230523,
13.02,0,1.0509408611767876,0.1108583754382508,
15.02,0,1.1565346622983457,0.1303509962510434,
17.02,0,1.2584484136903922,0.1517558692323845,
19.02,0,1.3517419846662924,0.1738369969065485,
21.02,0,0.9397814128460176,0.286926688986425,
23.02,0,0.8998217946663465,0.32741519516502,
25.02,0,0.9214650252144202,0.3733469810771536,
